"RT_ID","SN_B","STOP_CD_B","SN_E","STOP_CD_E","DIST","LMT_SPD"
"VPOROPB-N2","1","PAOJO  ","18","PAOJO  ","8175","40"
"VPOROPF-N2","1","PAOJO  ","12","PAOJO  ","7130","40"
"VPOROPS-N2","1","PAOJO  ","5","PAOJO  ","2523","40"
"VPOROSB-N2","1","PAOJO  ","6","PAOJO  ","1980","40"
"VPOROVE-N2","1","PAOJO  ","4","PAOJO  ","1597","40"
"VPOROVR-R2","1","PAOJO  ","11","PAOJO  ","5589","40"
"VPORPB-NA2","1","PAOJO  ","18","PAOJO  ","8175","40"
"VPORPF-NA2","1","PAOJO  ","12","PAOJO  ","7130","40"
"VPORPS-NA2","1","PAOJO  ","5","PAOJO  ","2523","40"
"VPORSB-NA2","1","PAOJO  ","6","PAOJO  ","1980","40"
"VPORVE-NA2","1","PAOJO  ","4","PAOJO  ","1597","40"
"VPORVR-NA2","1","PAOJO  ","11","PAOJO  ","5589","40"
"VPOXAZ-NA2","1","PAOJO  ","21","PAOJO  ","10120","40"
"VPOXBN-NA2","1","PAOJO  ","38","PAOJO  ","18238","40"
"VPOXCH-NA2","1","PAOJO  ","56","PAOJO  ","31143","40"
"VPPCNA3-N1","1","PAPUE  ","10","PAPUE  ","24485","40"
"VPPCNAL-N1","1","PAPUE  ","9","PAPUE  ","29057","40"
"VPPCNCN-N1","1","PAPUE  ","10","PAPUE  ","25424","40"
"VPPCNPB-N2","1","PAPUE  ","20","PAPUE  ","20590","40"
"VPPCNPC-N1","1","PAPUE  ","14","PAPUE  ","35825","40"
"VPPCNPH-N1","1","PAPUE  ","8","PAPUE  ","26193","40"
"VPPCNPO-N2","1","PAPUE  ","8","PAPUE  ","15016","40"
"VPPCSBV-N2","1","PAPUE  ","7","PAPUE  ","8395","40"
"VPPCSC5-N1","1","PAPUE  ","10","PAPUE  ","14351","40"
"VPPCSCE-N2","1","PAPUE  ","8","PAPUE  ","8040","40"
"VPPCSCV-N1","1","PAPUE  ","10","PAPUE  ","14000","40"
"VPPCSEM-N1","1","PAPUE  ","15","PAPUE  ","16477","40"
"VPPCSL2-N1","1","PAPUE  ","16","PAPUE  ","16382","40"
"VPPCSMC-N1","1","PAPUE  ","15","PAPUE  ","16490","40"
"VPPCSPU-N1","1","PAPUE  ","11","PAPUE  ","14313","40"
"VPPCSVV-N1","1","PAPUE  ","12","PAPUE  ","15674","40"
"VPPD99-NA2","1","PAPUE  ","21","PAPUE  ","11290","40"
"VPPDAC1-N2","1","PAPUE  ","7","PAPUE  ","3871","40"
"VPPDAEB-N2","1","PAPUE  ","13","PAPUE  ","5022","40"
"VPPDAJV-N2","1","PAPUE  ","5","PAPUE  ","2575","40"
"VPPDAVL-N2","1","PAPUE  ","12","PAPUE  ","5881","40"
"VPPDCES-N2","1","PAPUE  ","34","PAPUE  ","15614","40"
"VPPDCP-NA2","1","PAPUE  ","8","PAPUE  ","4570","40"
"VPPDCU-NA2","1","PAPUE  ","7","PAPUE  ","5728","40"
"VPPDD99-N2","1","PAPUE  ","21","PAPUE  ","11290","40"
"VPPDDB-NA2","1","PAPUE  ","7","PAPUE  ","4291","40"
"VPPDDCP-N2","1","PAPUE  ","8","PAPUE  ","4570","40"
"VPPDDCU-N2","1","PAPUE  ","7","PAPUE  ","5728","40"
"VPPDDDB-N2","1","PAPUE  ","7","PAPUE  ","4291","40"
"VPPDDE1-N2","1","PAPUE  ","2","PAPUE  ","322","40"
"VPPDDEL-N2","1","PAPUE  ","14","PAPUE  ","6549","40"
"VPPDDER-N2","1","PAPUE  ","7","PAPUE  ","3039","40"
"VPPDDET-N1","1","PAPUE  ","11","PAPUE  ","9614","40"
"VPPDDLR-N2","1","PAPUE  ","2","PAPUE  ","350","40"
"VPPDDSP-N2","1","PAPUE  ","4","PAPUE  ","1629","40"
"VPPDE1-NA2","1","PAPUE  ","2","PAPUE  ","322","40"
"VPPDEL-NA2","1","PAPUE  ","14","PAPUE  ","6549","40"
"VPPDER-NA2","1","PAPUE  ","7","PAPUE  ","3039","40"
"VPPDET-NA1","1","PAPUE  ","11","PAPUE  ","9614","40"
"VPPDJP2-N2","1","PAPUE  ","13","PAPUE  ","5671","40"
"VPPDJP6-N2","1","PAPUE  ","14","PAPUE  ","6683","40"
"VPPDJSI-N2","1","PAPUE  ","13","PAPUE  ","5467","40"
"VPPDLR-NA2","1","PAPUE  ","2","PAPUE  ","350","40"
"VPPDPCA-N2","1","PAPUE  ","18","PAPUE  ","9014","40"
"VPPDPDI-N2","1","PAPUE  ","26","PAPUE  ","13149","40"
"VPPDPDO-N2","1","PAPUE  ","29","PAPUE  ","14526","40"
"VPPDPDR-N2","1","PAPUE  ","27","PAPUE  ","13884","40"
"VPPDPDX-N2","1","PAPUE  ","28","PAPUE  ","14735","40"
"VPPDPMX-N2","1","PAPUE  ","19","PAPUE  ","9424","40"
"VPPDPNI-N2","1","PAPUE  ","32","PAPUE  ","18266","40"
"VPPDPP4-N2","1","PAPUE  ","42","PAPUE  ","24897","40"
"VPPDPPD-N2","1","PAPUE  ","27","PAPUE  ","13349","40"
"VPPDPPG-N2","1","PAPUE  ","14","PAPUE  ","9044","40"
"VPPDPTO-N2","1","PAPUE  ","22","PAPUE  ","12489","40"
"VPPDPXA-N2","1","PAPUE  ","5","PAPUE  ","3109","40"
"VPPDSP-NA2","1","PAPUE  ","4","PAPUE  ","1629","40"
"VPPJAGU-N2","1","PAPUE  ","2","PAPUE  ","894","40"
"VPPJAJ2-N2","1","PAPUE  ","3","PAPUE  ","1063","40"
"VPPJAJR-N2","1","PAPUE  ","9","PAPUE  ","5151","40"
"VPPJGU-NA2","1","PAPUE  ","2","PAPUE  ","894","40"
"VPPJJ2-NA2","1","PAPUE  ","3","PAPUE  ","1063","40"
"VPPJJR-NA2","1","PAPUE  ","9","PAPUE  ","5151","40"
"VPPNA3-NA1","1","PAPUE  ","10","PAPUE  ","24485","40"
"VPPNAL-NA1","1","PAPUE  ","9","PAPUE  ","29057","40"
"VPPNCN-NA1","1","JPACE4A","10","JPACE4A","25424","60"
"VPPNPB-NA2","1","PAPUE  ","20","PAPUE  ","20590","40"
"VPPNPC-NA1","1","PAPUE  ","14","PAPUE  ","30778","40"
"VPPNPH-NA1","1","PAPUE  ","8","PAPUE  ","26193","40"
"VPPNPO-NA2","1","PAPUE  ","8","PAPUE  ","15016","40"
"VPPQES-NA2","1","PAPUE  ","34","PAPUE  ","15614","40"
"VPPSBV-NA2","1","PAPUE  ","7","PAPUE  ","8395","40"
"VPPSC5-PT1","1","PAPUE  ","10","PAPUE  ","14351","40"
"VPPSCE-NA2","1","PAPUE  ","8","PAPUE  ","8040","40"
"VPPSCV-NA1","1","PAPUE  ","10","PAPUE  ","14000","40"
"VPPSEM-PT1","1","PAPUE  ","15","PAPUE  ","16477","40"
"VPPSL2-PT1","1","PAPUE  ","16","PAPUE  ","16382","40"
"VPPSMC-PT1","1","PAPUE  ","15","PAPUE  ","16490","40"
"VPPSPU-PT1","1","PAPUE  ","11","PAPUE  ","14313","40"
"VPPSVV-PT1","1","PAPUE  ","12","PAPUE  ","15674","40"
"VPPTCA-NA2","1","PAPUE  ","18","PAPUE  ","9014","40"
"VPPTDI-NA2","1","PAPUE  ","26","PAPUE  ","13149","40"
"VPPTDO-NA2","1","PAPUE  ","29","PAPUE  ","14526","40"
"VPPTDR-NA2","1","PAPUE  ","27","PAPUE  ","13884","40"
"VPPTDX-NA2","1","PAPUE  ","28","PAPUE  ","14735","40"
"VPPTMX-NA2","1","PAPUE  ","19","PAPUE  ","9424","40"
"VPPTNI-NA2","1","PAPUE  ","32","PAPUE  ","18266","40"
"VPPTP4-NA2","1","PAPUE  ","42","PAPUE  ","24897","40"
"VPPTPD-NA2","1","PAPUE  ","27","PAPUE  ","13349","40"
"VPPTPG-NA2","1","PAPUE  ","14","PAPUE  ","9044","40"
"VPPTTO-NA2","1","PAPUE  ","22","PAPUE  ","12489","40"
"VPPTXA-NA2","1","PAPUE  ","5","PAPUE  ","3109","40"
"VPPUC1-NA2","1","PAPUE  ","7","PAPUE  ","3871","40"
"VPPUEB-NA2","1","PAPUE  ","13","PAPUE  ","5022","40"
"VPPUJV-NA2","1","PAPUE  ","5","PAPUE  ","2575","40"
"VPPUVL-NA2","1","PAPUE  ","12","PAPUE  ","5881","40"
"VPPWP2-NA2","1","ESTAPEA","13","1","5671",
"VPPWP6-NA2","1","PAPUE  ","14","PAPUE  ","6683","40"
"VPPWSI-NA2","1","PAPUE  ","13","PAPUE  ","5467","40"
"VPQ7PP-NA2","1","PREAL1A","19","PREAL1A","9481","50"
"VPQBPD-NA2","1","PREAL1A","20","PREAL1A","7862","50"
"VPQCAES-N2","1","PREAL1A","28","PREAL1A","9923","50"
"VPQCAMX-N2","1","PREAL1A","15","PREAL1A","4729","50"
"VPQCSBV-N2","1","PREAL1A","14","PREAL1A","17819","50"
"VPQCSCE-N2","1","PREAL1A","14","PREAL1A","17300","50"
"VPQCSPC-N1","1","PREAL1A","22","PREAL1A","30044","50"
"VPQCSPH-N1","1","PREAL1A","22","PREAL1A","28740","50"
"VPQDAVL-N2","1","PREAL1A","12","PREAL1A","5857","50"
"VPQDCP-NA2","1","PREAL1A","2","PREAL1A","1509","50"
"VPQDDCP-N2","1","PREAL1A","2","PREAL1A","1509","50"
"VPQEES-NA2","1","PREAL1A","28","PREAL1A","9923","50"
"VPQEMX-NA2","1","PREAL1A","15","PREAL1A","4729","50"
"VPQINP6-N2","1","PREAL1A","2","PREAL1A","169","50"
"VPQMDPP-N2","1","PREAL1A","19","PREAL1A","9481","50"
"VPQPAPD-N2","1","PREAL1A","20","PREAL1A","7862","50"
"VPQSBV-NA2","1","PREAL1A","14","PREAL1A","17819","50"
"VPQSCE-NA2","1","PREAL1A","14","PREAL1A","17300","50"
"VPQSPC-PT1","1","PREAL1A","22","PREAL1A","30044","50"
"VPQSPH-PT1","1","PREAL1A","22","PREAL1A","28740","50"
"VPQUVL-NA2","1","PREAL1A","12","PREAL1A","5857","50"
"VPQZP6-NA2","1","PREAL1A","2","PREAL1A","169","50"
"VPT4A2-NA1","1","PAICT1A","7","PAICT1A","6143","60"
"VPT4AL-NA1","1","PAICT1A","10","PAICT1A","7483","60"
"VPTCOA2-N1","1","PAICT1A","7","PAICT1A","6143","60"
"VPTCOAL-N1","1","PAICT1A","10","PAICT1A","7483","60"
"VPTMED-NA1","1","PAICT1A","12","PAICT1A","5997","60"
"VPTOPC-NA1","1","PAICT1A","4","PAICT1A","7591","60"
"VPTOPH-NA1","1","PAICT1A","7","PAICT1A","6287","60"
"VPTOTPC-N1","1","PAICT1A","4","PAICT1A","7591","60"
"VPTOTPH-N1","1","PAICT1A","7","PAICT1A","6287","60"
"VPTTMED-N1","1","PAICT1A","12","PAICT1A","5997","60"
"VPTVE3-NA1","1","PAICT1A","11","PAICT1A","3623","60"
"VPTVE4-NA1","1","PAICT1A","8","PAICT1A","5996","60"
"VPTVEE3-N1","1","PAICT1A","11","PAICT1A","3623","60"
"VPTVEE4-N1","1","PAICT1A","8","PAICT1A","5996","60"
"VPTVEEM-N1","1","PAICT1A","7","PAICT1A","3448","60"
"VPTVEM-NA1","1","PAICT1A","7","PAICT1A","3448","60"
"VPU2PH-NA1","1","URRACCA","5","URRACCA","5003","60"
"VPU4AL-NA1","1","URRACCA","6","URRACCA","6471","60"
"VPU4EM-NA1","1","URRACCA","5","URRACCA","2164","60"
"VPU4PC-NA1","1","URRACCA","5","URRACCA","6307","60"
"VPUCLPH-N1","1","URRACCA","5","URRACCA","5003","60"
"VPUCOAL-N1","1","URRACCA","6","URRACCA","6471","60"
"VPUCOEM-N1","1","BOULECA","5","BOULECA","2164","60"
"VPUCOPC-N1","1","URRACCA","5","URRACCA","6307","60"
"VPUCSBV-N2","1","URRACCA","7","URRACCA","8888","60"
"VPUCSCE-N2","1","URRACCA","8","URRACCA","9482","60"
"VPUCSCP-N2","1","URRACCA","21","URRACCA","20380","60"
"VPUCSDR-N2","1","URRACCA","23","URRACCA","28890","60"
"VPUCSER-N2","1","URRACCA","20","URRACCA","18840","60"
"VPUCSLR-N2","1","URRACCA","12","URRACCA","16969","60"
"VPUCSMX-N2","1","URRACCA","17","URRACCA","24566","60"
"VPUCSPD-N2","1","URRACCA","25","URRACCA","28681","60"
"VPUCSPP-N2","1","URRACCA","12","URRACCA","16731","60"
"VPUCSVL-N2","1","URRACCA","11","URRACCA","17026","60"
"VPUSBV-NA2","1","URRACCA","7","URRACCA","8888","60"
"VPUSCE-NA2","1","URRACCA","8","URRACCA","9482","60"
"VPUSCP-LB2","1","URRACCA","21","URRACCA","20380","60"
"VPUSDR-NA2","1","URRACCA","23","URRACCA","28890","60"
"VPUSER-LB2","1","URRACCA","20","URRACCA","18840","60"
"VPUSLR-LB2","1","URRACCA","12","URRACCA","16969","60"
"VPUSMX-NA2","1","URRACCA","17","URRACCA","24566","60"
"VPUSPD-NA2","1","URRACCA","25","URRACCA","28681","60"
"VPUSPP-LB2","1","URRACCA","12","URRACCA","16731","60"
"VPUSVL-CR2","1","URRACCA","11","URRACCA","17026","60"
"VPX799-NA2","1","PEGRE1A","25","PEGRE1A","13163","40"
"VPX7DB-NA2","1","PEGRE1A","8","PEGRE1A","5274","40"
"VPX7E1-NA2","1","PEGRE1A","10","PEGRE1A","5134","40"
"VPX7ER-NA2","1","PEGRE1A","6","PEGRE1A","3279","40"
"VPX7PP-NA2","1","PEGRE1A","15","PEGRE1A","7914","40"
"VPX7SP-NA2","1","PEGRE1A","13","PEGRE1A","7803","40"
"VPXACA-NA2","1","PEGRE1A","16","PEGRE1A","5810","40"
"VPXAP2-NA2","1","PEGRE1A","3","PEGRE1A","648","40"
"VPXASI-NA2","1","PEGRE1A","2","PEGRE1A","711","40"
"VPXBPD-NA2","1","PEGRE1A","22","PEGRE1A","9353","40"
"VPXCNA3-N1","1","PEGRE1A","14","PEGRE1A","26358","40"
"VPXCNAL-N1","1","PEGRE1A","13","PEGRE1A","30930","40"
"VPXCSBV-N2","1","PEGRE1A","18","PEGRE1A","14930","40"
"VPXCSC5-R1","1","PEGRE1A","21","PEGRE1A","20886","40"
"VPXCSCE-N2","1","PEGRE1A","18","PEGRE1A","14411","40"
"VPXCSPC-N1","1","PEGRE1A","26","PEGRE1A","27155","40"
"VPXCSPH-N1","1","PEGRE1A","26","PEGRE1A","25851","40"
"VPXHC1-NA2","1","PEGRE1A","9","PEGRE1A","4110","40"
"VPXHEB-NA2","1","PEGRE1A","24","PEGRE1A","9761","40"
"VPXHJV-NA2","1","PEGRE1A","7","PEGRE1A","2859","40"
"VPXMAC1-N2","1","PEGRE1A","9","PEGRE1A","4110","40"
"VPXMAEB-N2","1","PEGRE1A","24","PEGRE1A","9761","40"
"VPXMAJV-N2","1","PEGRE1A","7","PEGRE1A","2859","40"
"VPXMD99-N2","1","PEGRE1A","25","PEGRE1A","13163","40"
"VPXMDDB-N2","1","PEGRE1A","8","PEGRE1A","5274","40"
"VPXMDE1-N2","1","PEGRE1A","10","PEGRE1A","5134","40"
"VPXMDER-N2","1","PEGRE1A","6","PEGRE1A","3279","40"
"VPXMDPP-N2","1","PEGRE1A","15","PEGRE1A","7914","40"
"VPXMDSP-N2","1","PEGRE1A","13","PEGRE1A","7803","40"
"VPXMTCA-N2","1","PEGRE1A","16","PEGRE1A","5810","40"
"VPXMTP2-N2","1","PEGRE1A","3","PEGRE1A","648","40"
"VPXMTSI-N2","1","PEGRE1A","2","PEGRE1A","711","40"
"VPXNA3-NA1","1","PEGRE1A","14","PEGRE1A","26358","40"
"VPXNAL-NA1","1","PEGRE1A","13","PEGRE1A","30930","40"
"VPXPAPD-N2","1","PEGRE1A","22","PEGRE1A","9353","40"
"VPXSBV-NA2","1","PEGRE1A","18","PEGRE1A","14930","40"
"VPXSC5-PT1","1","PEGRE1A","21","PEGRE1A","20886","40"
"VPXSCE-NA2","1","GCVCS1A","18","GCVCS1A","14411","80"
"VPXSPC-PT1","1","PEGRE1A","26","PEGRE1A","27155","40"
"VPXSPH-PT1","1","PEGRE1A","26","PEGRE1A","25851","40"
"VS1CNPC-N1","1","ETAP11A","12","ETAP11A","25016","40"
"VS1CNPH-N1","1","ETAP11A","6","ETAP11A","15384","40"
"VS1NPC-NA1","1","ETAP11A","7","ETAP11A","20022","40"
"VS1NPH-NA1","1","ETAP11A","6","ETAP11A","15384","40"
"VS1PPB-NA2","1","ETAP11A","12","ETAP11A","7089","40"
"VS1PPO-NA2","1","ETAP11A","5","ETAP11A","3975","40"
"VS1PSB-NA2","1","ETAP11A","8","ETAP11A","1859","40"
"VS1SBPB-N2","1","ETAP11A","12","ETAP11A","7089","40"
"VS1SBPO-N2","1","ETAP11A","5","ETAP11A","3975","40"
"VS1SBSB-N2","1","ETAP11A","8","ETAP11A","1859","40"
"VS3CNAL-N1","1","SANTA2A","7","SANTA2A","19924","40"
"VS3CNC5-N1","1","SANTA2A","10","SANTA2A","17825","40"
"VS3CNEM-N1","1","SANTA2A","8","SANTA2A","19773","40"
"VS3CNMC-N1","1","SANTA2A","14","SANTA2A","18687","40"
"VS3CNPC-N1","1","SANTA2A","13","SANTA2A","26692","40"
"VS3CNPH-N1","1","SANTA2A","7","SANTA2A","17060","40"
"VS3CNVV-N1","1","SANTA2A","8","SANTA2A","17417","40"
"VS3INEP-N2","1","SANTA2A","2","SANTA2A","585","40"
"VS3INM1-N2","1","SANTA2A","13","SANTA2A","4623","40"
"VS3INS1-N2","1","SANTA2A","8","SANTA2A","2011","40"
"VS3INST-N2","1","SANTA2A","2","SANTA2A","379","40"
"VS3INTE-N2","1","SANTA2A","2","SANTA2A","936","40"
"VS3INTR-N2","1","SANTA2A","5","SANTA2A","1562","40"
"VS3INV1-N2","1","SANTA2A","13","SANTA2A","3930","40"
"VS3NAL-NA1","1","SANTA2A","7","SANTA2A","19924","40"
"VS3NC5-NA1","1","SANTA2A","10","SANTA2A","17825","40"
"VS3NEM-NA1","1","SANTA2A","8","SANTA2A","19773","40"
"VS3NMC-NA1","1","SANTA2A","14","SANTA2A","18687","40"
"VS3NPC-NA1","1","SANTA2A","8","SANTA2A","21698","40"
"VS3NPH-NA1","1","SANTA2A","7","SANTA2A","17060","40"
"VS3NVV-NA1","1","SANTA2A","8","SANTA2A","17417","40"
"VS3PAC-NA2","1","SANTA2A","17","SANTA2A","5449","40"
"VS3PAE-NA2","1","SANTA2A","18","SANTA2A","5673","40"
"VS3PBN-NA2","1","SANTA2A","41","SANTA2A","19127","40"
"VS3PEA-NA2","1","SANTA2A","31","SANTA2A","12994","40"
"VS3PEC-NA2","1","SANTA2A","21","SANTA2A","8994","40"
"VS3PLA-NA2","1","SANTA2A","16","SANTA2A","5845","40"
"VS3PPB-NA2","1","SANTA2A","21","SANTA2A","9064","40"
"VS3PPO-NA2","1","SANTA2A","16","SANTA2A","5282","40"
"VS3PPS-NA2","1","SANTA2A","19","SANTA2A","6725","40"
"VS3PSB-NA2","1","SANTA2A","14","SANTA2A","3544","40"
"VS3PVE-NA2","1","SANTA2A","18","SANTA2A","5799","40"
"VS3PVR-NA2","1","SANTA2A","25","SANTA2A","9791","40"
"VS3SBAC-N2","1","SANTA2A","17","SANTA2A","5449","40"
"VS3SBAE-N2","1","SANTA2A","18","SANTA2A","5673","40"
"VS3SBBN-N2","1","SANTA2A","41","SANTA2A","19127","40"
"VS3SBEA-N2","1","SANTA2A","31","SANTA2A","12994","40"
"VS3SBEC-N2","1","SANTA2A","21","SANTA2A","8994","40"
"VS3SBLA-N2","1","SANTA2A","16","SANTA2A","5845","40"
"VS3SBPB-N2","1","SANTA2A","21","SANTA2A","9064","40"
"VS3SBPO-N2","1","SANTA2A","16","SANTA2A","5282","40"
"VS3SBPS-N2","1","SANTA2A","19","SANTA2A","6725","40"
"VS3SBSB-N2","1","SANTA2A","14","SANTA2A","3544","40"
"VS3SBVE-N2","1","SANTA2A","18","SANTA2A","5799","40"
"VS3SBVR-N2","1","SANTA2A","25","SANTA2A","9791","40"
"VS3ZEP-NA2","1","SANTA2A","2","SANTA2A","585","40"
"VS3ZM1-NA2","1","SANTA2A","13","SANTA2A","4623","40"
"VS3ZS1-NA2","1","SANTA2A","8","SANTA2A","2011","40"
"VS3ZST-NA2","1","SANTA2A","2","SANTA2A","379","40"
"VS3ZTE-NA2","1","SANTA2A","2","SANTA2A","936","40"
"VS3ZTR-NA2","1","SANTA2A","5","SANTA2A","1562","40"
"VS3ZV1-NA2","1","SANTA2A","13","SANTA2A","3930","40"
"VSACNAL-N1","1","SALIDLA","4","SALIDLA","16951","40"
"VSACNM1-N2","1","SALIDLA","9","SALIDLA","5138","40"
"VSACNPC-N1","1","SALIDLA","10","SALIDLA","23719","40"
"VSACNPH-N1","1","SALIDLA","4","SALIDLA","14087","40"
"VSACNS1-N2","1","SALIDLA","7","SALIDLA","3626","40"
"VSACNST-N2","1","SALIDLA","13","SALIDLA","5378","40"
"VSACNVV-N1","1","SALIDLA","5","SALIDLA","14444","40"
"VSANAL-NA1","1","SALIDLA","4","SALIDLA","16951","40"
"VSANM1-NA2","1","SALIDLA","9","SALIDLA","5138","40"
"VSANPC-NA1","1","SALIDLA","5","SALIDLA","18725","40"
"VSANPH-NA1","1","SALIDLA","4","SALIDLA","14087","40"
"VSANS1-NA2","1","SALIDLA","7","SALIDLA","3626","40"
"VSANST-NA2","1","SALIDLA","13","SALIDLA","5378","40"
"VSANVV-NA1","1","SALIDLA","5","SALIDLA","14444","40"
"VSARAC-NA2","1","SALIDLA","3","SALIDLA","176","40"
"VSAREC-NA2","1","SALIDLA","17","SALIDLA","8216","40"
"VSARLA-NA2","1","SALIDLA","2","SALIDLA","545","40"
"VSAROAC-N2","1","SALIDLA","3","SALIDLA","176","40"
"VSAROEC-N2","1","SALIDLA","17","SALIDLA","8216","40"
"VSAROLA-N2","1","SALIDLA","2","SALIDLA","545","40"
"VSAROPB-N2","1","CSITK2A","17","CSITK2A","8286","60"
"VSAROPF-N2","1","SALIDLA","13","SALIDLA","6084","40"
"VSAROPO-N2","1","SALIDLA","3","SALIDLA","1150","40"
"VSAROSB-N2","1","SALIDLA","5","SALIDLA","2091","40"
"VSAROVE-N2","1","SALIDLA","3","SALIDLA","743","40"
"VSAROVR-N2","1","SALIDLA","11","SALIDLA","4518","40"
"VSARPB-NA2","1","SALIDLA","17","SALIDLA","8286","40"
"VSARPF-NA2","1","SALIDLA","13","SALIDLA","6084","40"
"VSARPO-NA2","1","SALIDLA","3","SALIDLA","1150","40"
"VSARSB-NA2","1","SALIDLA","5","SALIDLA","2091","40"
"VSARVE-NA2","1","SALIDLA","3","SALIDLA","743","40"
"VSARVR-NA2","1","SALIDLA","11","SALIDLA","4518","40"
"VSBAREP-N2","1","ESTSI2A","18","ESTSI2A","6595","60"
"VSBARM1-N2","1","ESTSI2A","19","ESTSI2A","8128","60"
"VSBARP7-N2","1","ESTSI2A","11","ESTSI2A","4319","60"
"VSBARPN-N2","1","ESTSI2A","12","ESTSI2A","5052","60"
"VSBARS1-N2","1","ESTSI2A","11","ESTSI2A","4649","60"
"VSBARST-N2","1","ESTSI2A","18","ESTSI2A","6389","60"
"VSBARTE-N2","1","ESTSI2A","18","ESTSI2A","6946","60"
"VSBARTR-N2","1","ESTSI2A","21","ESTSI2A","7572","60"
"VSBARV1-N2","1","ESTSI2A","8","ESTSI2A","3045","60"
"VSBCNA2-N1","1","ESTSI2A","10","ESTSI2A","19318","60"
"VSBCNA3-N1","1","ESTSI2A","10","ESTSI2A","13549","60"
"VSBCNAL-N1","1","ESTSI2A","9","ESTSI2A","18121","60"
"VSBCNC5-N1","1","ESTSI2A","12","ESTSI2A","16022","60"
"VSBCNCN-N1","1","ESTSI2A","12","ESTSI2A","14488","60"
"VSBCNCV-N1","1","ESTSI2A","11","ESTSI2A","15617","60"
"VSBCNE3-N1","1","ESTSI2A","11","ESTSI2A","16782","60"
"VSBCNE4-N1","1","ESTSI2A","10","ESTSI2A","15801","60"
"VSBCNED-N1","1","ESTSI2A","9","ESTSI2A","12310","60"
"VSBCNEM-N1","1","ESTSI2A","17","ESTSI2A","16505","60"
"VSBCNL2-N1","1","ESTSI2A","12","ESTSI2A","14913","60"
"VSBCNMC-N1","1","ESTSI2A","16","ESTSI2A","16884","60"
"VSBCNPC-N1","1","ESTSI2A","15","ESTSI2A","24889","60"
"VSBCNPT-P1","1","ESTSI2A","16","ESTSI2A","19077","60"
"VSBCNPU-P1","1","ESTSI2A","12","ESTSI2A","16022","60"
"VSBCNVV-N1","1","ESTSI2A","10","ESTSI2A","15614","60"
"VSBFEP-NA2","1","ENTVA1A","18","ENTVA1A","6595","40"
"VSBFM1-NA2","1","ESTSI2A","19","ESTSI2A","8128","60"
"VSBFP7-NA2","1","ESTSI2A","11","ESTSI2A","4319","60"
"VSBFPN-NA2","1","ESTSI2A","12","ESTSI2A","5052","60"
"VSBFS1-NA2","1","ESTSI2A","11","ESTSI2A","4649","60"
"VSBFST-NA2","1","ESTSI2A","18","ESTSI2A","6389","60"
"VSBFTE-NA2","1","ESTSI2A","18","ESTSI2A","6946","60"
"VSBFTR-NA2","1","ESTSI2A","21","ESTSI2A","7572","60"
"VSBFV1-NA2","1","ESTSI2A","8","ESTSI2A","3045","60"
"VSBNA2-NA1","1","ESTSI2A","10","ESTSI2A","19318","60"
"VSBNA3-NA1","1","ESTSI2A","10","ESTSI2A","13549","60"
"VSBNAL-NA1","1","ESTSI2A","9","ESTSI2A","18121","60"
"VSBNC5-NA1","1","ESTSI2A","12","ESTSI2A","16022","60"
"VSBNCN-NA1","1","ESTSI2A","12","ESTSI2A","14488","60"
"VSBNCV-NA1","1","ESTSI2A","11","ESTSI2A","15617","60"
"VSBNE3-NA1","1","ESTSI2A","11","ESTSI2A","16782","60"
"VSBNE4-NA1","1","ESTSI2A","10","ESTSI2A","15801","60"
"VSBNED-NA1","1","ESTSI2A","9","ESTSI2A","12310","60"
"VSBNEM-NA1","1","ESTSI2A","17","ESTSI2A","16505","60"
"VSBNL2-NA1","1","ESTSI2A","12","ESTSI2A","14913","60"
"VSBNMC-NA1","1","ESTSI2A","16","ESTSI2A","16884","60"
"VSBNPC-NA1","1","ESTSI2A","15","ESTSI2A","19842","60"
"VSBNPT-NA1","1","ESTSI2A","16","ESTSI2A","19077","60"
"VSBNPU-NA1","1","ESTSI2A","12","ESTSI2A","16022","60"
"VSBNVV-NA1","1","ESTSI2A","10","ESTSI2A","15614","60"
"VSBRAC-NA2","1","ESTSI2A","11","ESTSI2A","3889","60"
"VSBRAE-NA2","1","ESTSI2A","12","ESTSI2A","4113","60"
"VSBRCAZ-N2","1","ESTSI2A","16","ESTSI2A","7831","60"
"VSBRCBN-N2","1","ESTSI2A","35","ESTSI2A","15949","60"
"VSBRCC6-N2","1","ESTSI2A","46","ESTSI2A","22221","60"
"VSBRCCH-N2","1","ESTSI2A","53","ESTSI2A","28854","60"
"VSBRCS2-N2","1","ESTSI2A","25","ESTSI2A","13048","60"
"VSBRCS7-N2","1","ESTSI2A","40","ESTSI2A","18547","60"
"VSBREA-NA2","1","ESTSI2A","23","ESTSI2A","9816","60"
"VSBREC-NA2","1","ESTSI2A","15","ESTSI2A","5816","60"
"VSBRGE-NA2","1","ESTSI2A","18","ESTSI2A","7583","60"
"VSBRLA-NA2","1","ESTSI2A","10","ESTSI2A","4285","60"
"VSBRMS-NA2","1","ESTSI2A","17","ESTSI2A","6230","60"
"VSBROAC-N2","1","ESTSI2A","11","ESTSI2A","3889","60"
"VSBROAE-N2","1","ESTSI2A","12","ESTSI2A","4113","60"
"VSBROEA-N2","1","ESTSI2A","23","ESTSI2A","9816","60"
"VSBROEC-N2","1","ESTSI2A","15","ESTSI2A","5816","60"
